no,indicador,cve_mun,nom_ent,nom_mun,year,valor
42,Proyecciones de Población CONAPO,00000,NA,NA,2020,127792286
42,Proyecciones de Población CONAPO,01000,NA,NA,2020,1434635
42,Proyecciones de Población CONAPO,01001,Aguascalientes,Aguascalientes,2010,804008.782
42,Proyecciones de Población CONAPO,01001,Aguascalientes,Aguascalientes,2011,816821.969
42,Proyecciones de Población CONAPO,01001,Aguascalientes,Aguascalientes,2012,829289.079
42,Proyecciones de Población CONAPO,01001,Aguascalientes,Aguascalientes,2013,841408.208
42,Proyecciones de Población CONAPO,01001,Aguascalientes,Aguascalientes,2014,853206.524
42,Proyecciones de Población CONAPO,01001,Aguascalientes,Aguascalientes,2015,894812
42,Proyecciones de Población CONAPO,01001,Aguascalientes,Aguascalientes,2016,910036
42,Proyecciones de Población CONAPO,01001,Aguascalientes,Aguascalientes,2017,923323
42,Proyecciones de Población CONAPO,01001,Aguascalientes,Aguascalientes,2018,936373
42,Proyecciones de Población CONAPO,01001,Aguascalientes,Aguascalientes,2019,949277
42,Proyecciones de Población CONAPO,01001,Aguascalientes,Aguascalientes,2020,961977
42,Proyecciones de Población CONAPO,01001,Aguascalientes,Aguascalientes,2021,974529
42,Proyecciones de Población CONAPO,01001,Aguascalientes,Aguascalientes,2022,986919
42,Proyecciones de Población CONAPO,01001,Aguascalientes,Aguascalientes,2023,999203
42,Proyecciones de Población CONAPO,01001,Aguascalientes,Aguascalientes,2024,1011346
42,Proyecciones de Población CONAPO,01001,Aguascalientes,Aguascalientes,2025,1023372
42,Proyecciones de Población CONAPO,01001,Aguascalientes,Aguascalientes,2026,1035303
42,Proyecciones de Población CONAPO,01001,Aguascalientes,Aguascalientes,2027,1047149
42,Proyecciones de Población CONAPO,01001,Aguascalientes,Aguascalientes,2028,1058899
42,Proyecciones de Población CONAPO,01001,Aguascalientes,Aguascalientes,2029,1070563
42,Proyecciones de Población CONAPO,01001,Aguascalientes,Aguascalientes,2030,1082166
42,Proyecciones de Población CONAPO,01002,Aguascalientes,Asientos,2010,45971.635
42,Proyecciones de Población CONAPO,01002,Aguascalientes,Asientos,2011,46638.116
42,Proyecciones de Población CONAPO,01002,Aguascalientes,Asientos,2012,47302.791
42,Proyecciones de Población CONAPO,01002,Aguascalientes,Asientos,2013,47964.589
42,Proyecciones de Población CONAPO,01002,Aguascalientes,Asientos,2014,48624.04
42,Proyecciones de Población CONAPO,01002,Aguascalientes,Asientos,2015,48259
42,Proyecciones de Población CONAPO,01002,Aguascalientes,Asientos,2016,48854
