cve_edo,nom_edo,acronimo_estado,cve_mpo_ine,nom_mpo_ine,cve_edo_mpo_ine,latitude,longitude,pob_tot,grado_prom_esco,metro,lista_nominal,total_votos,por_participacion,por_abstencion,participacion_h,participacion_m,participacion_j,v_pan,v_pri,v_prd,v_pvem,v_pt,v_mc,v_morena,v_pes,v_rsp,v_fxm,v_ci,v_vxm,v_jhh,v_otros,alianza_ganadora,votos_alianza_ganadora,margen_pp,triunfo_original
01,Aguascalientes,Ags.,001,Aguascalientes,01001,21.880833333333335,-102.2961111111111,942696,10.57415611814346,SI,682631,322173,47.19577634183036,52.80422365816964,53.7534320181905,60.9614352803583,57.5075984978837,165703,22821,6305,6653,4448,13419,79925,4658,2017,5960,0,194829,91027,12635,Va por México,194829,32.219335574365324,V x M
01,Aguascalientes,Ags.,002,Asientos,01002,22.239722222222223,-102.08888888888887,51601,8.528823529411765,NO,36221,23924,66.05008144446592,33.94991855553408,55.860289263638,70.0651140963219,63.0436072382082,7345,794,484,426,476,433,12335,268,377,345,0,8625,13237,990,Juntos Haremos Historia,13237,19.277712757064037,JHH
01,Aguascalientes,Ags.,003,Calvillo,01003,21.846944444444443,-102.71861111111112,58340,7.859032258064516,NO,48366,24778,51.230203035190016,48.769796964809984,44.5461412005154,57.9640098390368,51.3528896672504,10042,1779,395,1089,419,878,6037,385,226,2349,0,12218,7545,2960,Va por México,12218,18.859472112357736,V x M
01,Aguascalientes,Ags.,004,Cosio,01004,22.36777777777778,-102.2997222222222,16984,9.014,NO,12212,9322,76.33475270226006,23.66524729773994,51.3098464317977,60.8231707317073,56.2199492962672,2252,1875,112,2387,614,580,1023,42,23,68,0,4242,4024,133,Va por México,4242,2.3385539583780304,V x M
01,Aguascalientes,Ags.,005,Jesus Maria,01005,21.961111111111112,-102.34333333333332,134795,9.437727272727273,SI,88247,44900,50.879916597731366,49.120083402268634,48.648298048983,58.1031581031581,53.4871054364898,22544,4295,509,1240,564,903,10718,1387,362,1294,0,27351,12522,3043,Va por México,27351,33.02672605790646,V x M
01,Aguascalientes,Ags.,010,San Francisco De Los Romo,01010,22.0725,-102.27027777777778,64147,8.962,SI,37865,18988,50.146573352700386,49.853426647299614,47.8548695098663,60.0903614457831,54.1411327762303,5502,6704,164,442,213,281,4519,248,149,188,0,12372,5174,585,Va por México,12372,37.9081525173794,V x M
01,Aguascalientes,Ags.,006,Pabellon De Arteaga,01006,22.1475,-102.27833333333334,46674,9.477058823529411,NO,32690,18746,57.34475374732334,42.65524625267666,54.7196545442278,67.6756211375962,61.4166041917924,2068,4692,4430,656,1492,209,3418,292,393,172,0,11191,5566,857,Va por México,11191,30.006401365624665,V x M
01,Aguascalientes,Ags.,007,Rincon De Romos,01007,22.22972222222222,-102.3225,57358,9.574761904761903,NO,39531,21278,53.82611115327211,46.17388884672789,48.3185349611543,59.5501474926254,54.0806399308183,5254,2342,489,1734,1125,2853,4867,332,291,649,0,8088,7726,1272,Va por México,8088,1.7012877150108092,V x M
01,Aguascalientes,Ags.,008,San Jose De Gracia,01008,22.148333333333333,-102.41583333333334,9557,8.841428571428573,NO,7309,5468,74.81187576959913,25.188124230400874,56.6003062787136,68.9586305278174,62.9985228951256,1450,643,136,102,80,88,1312,53,150,1225,0,2231,1494,1428,Va por México,2231,13.478419897585955,V x M
01,Aguascalientes,Ags.,009,Tepezala,01009,22.222777777777775,-102.16694444444444,22636,8.459,NO,16373,11699,71.45300189336102,28.54699810663898,57.5322234156821,73.2317311449785,65.500826446281,4051,248,835,3526,123,165,2146,72,97,65,0,5136,5795,234,Juntos Haremos Historia,5795,5.632960082058296,JHH
01,Aguascalientes,Ags.,011,El Llano,01011,21.91583333333333,-101.9652777777778,20819,8.37625,NO,15962,11148,69.84087207116903,30.15912792883097,52.0490129339687,66.5419061622778,59.3619317415351,2035,319,467,124,2582,96,1871,99,138,2865,0,2825,4577,3102,Juntos Haremos Historia,4577,13.231072838177251,JHH
02,Baja California,BC,001,Ensenada,02001,31.85777777777778,-116.60583333333332,561375,10.335714285714284,SI,414808,158740,38.26830726504792,61.73169273495208,49.1397651487255,56.7337611328185,52.9417473248717,17375,10066,2491,3551,9443,5966,63242,19765,4420,16785,0,29933,76240,40970,Juntos Haremos Historia,76240,22.21872243920877,JHH
02,Baja California,BC,002,Mexicali,02002,32.663333333333334,-115.46777777777778,1049792,10.294629948364888,SI,818537,313963,38.35660452734574,61.64339547265426,47.8470413679328,53.4326424870466,50.6582507459917,59534,17474,3163,6862,4551,17976,135082,48310,4484,5938,0,80172,146497,58732,Juntos Haremos Historia,146497,21.125100728429782,JHH
02,Baja California,BC,003,Tecate,02003,32.57222222222222,-116.64027777777778,108436,9.625744680851064,SI,88071,35218,39.98819134561887,60.01180865438113,46.5299352939802,52.7791723445457,49.6183747253007,3534,3805,470,1583,691,1601,12389,7092,881,1717,0,7813,14665,9690,Juntos Haremos Historia,14665,14.12629905162133,JHH
02,Baja California,BC,004,Tijuana,02004,32.53472222222222,-117.0436111111111,1922584,10.115116487455197,SI,1493699,565173,37.83714121787589,62.16285878212411,46.9024431474685,53.052028392853,49.9563699196197,78486,30714,9474,14524,11770,22861,264401,96713,7199,10711,0,118676,290697,114623,Juntos Haremos Historia,290697,30.436875080727493,JHH
02,Baja California,BC,005,Playas De Rosarito,02005,32.342222222222226,-117.05611111111112,126833,9.817777777777778,SI,104062,36607,35.178066921642866,64.82193307835713,41.4064791919869,49.04646131198,45.107233536816,3223,1429,545,1367,757,2982,16570,5997,1081,1251,0,5201,18696,8329,Juntos Haremos Historia,18696,28.31972027207911,JHH
03,Baja California Sur,BCS,001,Comondu,03001,25.03222222222222,-111.67027777777778,72997,8.804583333333333,NO,56125,32638,58.152338530066814,41.847661469933186,47.802218183167,53.6114127382334,50.6931763127492,9694,942,370,1462,2381,1409,11442,414,224,3103,0,11007,15287,3741,Juntos Haremos Historia,15287,13.11354862430296,JHH
03,Baja California Sur,BCS,002,Mulege,03002,27.33888888888889,-112.26694444444443,64148,9.037272727272727,NO,42624,23592,55.3490990990991,44.6509009009009,52.68132896584,58.994816546397,55.7079516663418,9197,927,287,535,1021,438,9591,308,221,107,0,10412,11149,636,Juntos Haremos Historia,11149,3.1239403187521195,JHH
03,Baja California Sur,BCS,003,La Paz,03003,24.142222222222223,-110.31083333333332,292248,10.791785714285714,SI,215389,113726,52.80028227996787,47.19971772003213,54.2892812555734,60.9489765938694,57.6385468586852,42538,7399,1521,3663,5332,3619,41206,2695,1346,1223,0,51459,50204,5264,Va por México,51459,1.1035295359020805,V x M
03,Baja California Sur,BCS,004,Los cabos,03004,23.06138888888889,-109.70805555555556,351100,10.050298507462688,NO,234803,98314,41.87084492106148,58.12915507893852,44.7510936172933,51.8531886808019,48.086619169165,30370,3027,1060,3037,8697,2780,36455,2177,2410,5235,0,34458,48191,9822,Juntos Haremos Historia,48191,13.968509062798788,JHH
03,Baja California Sur,BCS,005,Loreto,03005,26.012777777777774,-111.34333333333332,17954,9.682,NO,12707,8319,65.46785236483828,34.53214763516172,57.1242680546519,63.7981683082772,60.3602848764139,3193,562,166,68,362,775,2081,740,49,25,0,3923,2514,814,Va por México,3923,16.937131866810915,V x M
04,Campeche,Camp.,001,Campeche,04001,19.842222222222222,-90.53166666666668,294635,10.585342465753424,SI,212325,134346,63.27375485694101,36.72624514305899,60.8054729812273,68.4573234590066,64.7939289961593,5347,36612,1644,2359,1958,33298,45906,1290,1822,778,0,43606,50223,3890,Juntos Haremos Historia,50223,4.925342027302636,JHH
04,Campeche,Camp.,002,Calkini,04002,20.37388888888889,-90.05222222222221,42614,9.596333333333334,NO,31269,24485,78.30439093031437,21.69560906968563,69.8460287616241,76.3856455225659,73.2206974570852,573,6333,314,257,194,4931,10573,119,267,374,0,7224,11024,760,Juntos Haremos Historia,11024,15.519705942413722,JHH
