n_bloque;texto;inicio_s;fin_s;duracion_s;inicio_hms;fin_hms;n_caracteres;caracteres_por_segundo
1;Un trabajo formal en México paga, en promedio, el doble que un informal.;0.000;3.680;3.680;00:00:00.000;00:00:03.680;72;19.6
2;Pero desafortunadamente, más de la mitad de las personas;3.940;6.800;2.860;00:00:03.940;00:00:06.800;56;19.6
3;que trabajan están en la informalidad.;6.800;8.560;1.760;00:00:06.800;00:00:08.560;38;21.6
4;Esta semana salen los datos nuevos sobre el mercado laboral;8.820;11.920;3.100;00:00:08.820;00:00:11.920;59;19.0
5;mexicano, que nos permitirán actualizar estas cifras.;11.920;14.740;2.820;00:00:11.920;00:00:14.740;53;18.8
6;Yo soy Juvenal Campos y esta es la Agenda Económica de México.;14.960;17.840;2.880;00:00:14.960;00:00:17.840;62;21.5
7;¿Cómo vamos?;18.060;18.860;0.800;00:00:18.060;00:00:18.860;12;15.0
8;Del 24 al 28 de agosto, que viene bastante cargadita.;18.940;22.240;3.300;00:00:18.940;00:00:22.240;53;16.1
9;El lunes es día cargado de información,;22.440;24.480;2.040;00:00:22.440;00:00:24.480;39;19.1
10;ya que sale el PIB del segundo trimestre, inflación de la primera;24.840;28.380;3.540;00:00:24.840;00:00:28.380;65;18.4
11;quincena de agosto y la actividad económica de junio.;28.380;31.160;2.780;00:00:28.380;00:00:31.160;53;19.1
12;Con todo esto actualizamos dos semáforos, el de crecimiento y el de inflación.;31.300;35.580;4.280;00:00:31.300;00:00:35.580;78;18.2
13;Los resultados ya los puedes consultar en mexicocomovamos.mx al publicar este video.;35.880;40.820;4.940;00:00:35.880;00:00:40.820;84;17.0
14;El martes viene lo bueno, si estás en el mundo de los datos.;41.040;44.160;3.120;00:00:41.040;00:00:44.160;60;19.2
15;La ENOE, la Radiografía del Mercado Laboral, la base que nos dice cómo;44.640;48.880;4.240;00:00:44.640;00:00:48.880;70;16.5
16;avanzó la formalidad y cuánto ganan los trabajadores en México.;48.880;51.980;3.100;00:00:48.880;00:00:51.980;63;20.3
17;Esta base se actualiza al segundo trimestre.;52.280;54.580;2.300;00:00:52.280;00:00:54.580;44;19.1
18;Al respecto, tenemos dos pendientes estructurales.;54.760;57.120;2.360;00:00:54.760;00:00:57.120;50;21.2
19;El primero, la informalidad, ya que el trimestre pasado;57.140;60.760;3.620;00:00:57.140;00:01:00.760;55;15.2
20;el 54.8% de la población ocupada en México;60.760;64.240;3.480;00:01:00.760;00:01:04.240;42;12.1
21;trabaja en un empleo sin prestaciones ni seguridad social.;64.880;67.840;2.960;00:01:04.880;00:01:07.840;58;19.6
22;Además, la participación laboral de las mujeres está muy baja, con una brecha de;68.420;72.880;4.460;00:01:08.420;00:01:12.880;80;17.9
23;casi 30 puntos porcentuales con respecto a la tasa de participación masculina.;72.880;76.920;4.040;00:01:12.880;00:01:16.920;78;19.3
24;Esto importa porque casi el 70% del ingreso de las familias;77.120;81.280;4.160;00:01:17.120;00:01:21.280;59;14.2
25;justamente viene del ingreso del trabajo.;81.280;83.540;2.260;00:01:21.280;00:01:23.540;41;18.1
26;El miércoles toca revisar pobreza laboral,;83.900;86.660;2.760;00:01:23.900;00:01:26.660;42;15.2
27;aquellas personas cuyo ingreso por trabajar no alcanza ni para;87.220;89.740;2.520;00:01:27.220;00:01:29.740;62;24.6
28;pagar la canasta alimentaria de los miembros de su hogar.;89.740;92.920;3.180;00:01:29.740;00:01:32.920;57;17.9
29;Si bien el trimestre pasado marcó su mínimo histórico, o sea,;93.000;96.220;3.220;00:01:33.000;00:01:36.220;61;18.9
30;el número más bajo que ha tenido en la historia, aún así son más;96.240;99.300;3.060;00:01:36.240;00:01:39.300;64;20.9
31;de 40 millones de personas que viven en esta situación.;99.300;102.020;2.720;00:01:39.300;00:01:42.020;55;20.2
32;La salida es una.;102.360;103.600;1.240;00:01:42.360;00:01:43.600;17;13.7
33;Nos toca crear más empleos formales en el país.;103.720;106.520;2.800;00:01:43.720;00:01:46.520;47;16.8
34;El jueves sale la balanza comercial de julio, la ENOE mensual de julio;106.800;111.220;4.420;00:01:46.800;00:01:51.220;70;15.8
35;y el informe trimestral de Banxico, en el cual sabremos cómo ve el Banco;111.220;115.380;4.160;00:01:51.220;00:01:55.380;72;17.3
36;Central los riesgos para el crecimiento y la inflación.;115.380;118.340;2.960;00:01:55.380;00:01:58.340;55;18.6
37;Finalmente, el viernes cerramos con las finanzas públicas de julio.;119.320;122.300;2.980;00:01:59.320;00:02:02.300;67;22.5
38;Para dimensionar, 7 de cada 10 pesos del ingreso público salen de;122.440;127.200;4.760;00:02:02.440;00:02:07.200;65;13.7
39;los impuestos que pagamos, donde el ISR aporta 4 de cada 10.;127.200;131.000;3.800;00:02:07.200;00:02:11.000;60;15.8
40;Por eso, así como le va a la economía, así le;131.220;134.360;3.140;00:02:11.220;00:02:14.360;45;14.3
41;va a las finanzas públicas del gobierno.;134.360;136.300;1.940;00:02:14.360;00:02:16.300;40;20.6
42;Si te interesan estos resúmenes semanales, síguenos en nuestras redes;136.540;139.580;3.040;00:02:16.540;00:02:19.580;69;22.7
43;sociales para ir analizando dato por dato a la economía mexicana.;139.580;142.760;3.180;00:02:19.580;00:02:22.760;65;20.4
44;Y visita mexicocomovamos.mx para nuestros análisis más especializados.;142.880;147.120;4.240;00:02:22.880;00:02:27.120;70;16.5
45;Por ejemplo, la semana pasada publicamos uno exclusivamente;147.120;150.760;3.640;00:02:27.120;00:02:30.760;59;16.2
46;sobre la informalidad laboral.;150.760;152.640;1.880;00:02:30.760;00:02:32.640;30;16.0
47;Que tengas un excelente inicio de semana.;152.660;154.420;1.760;00:02:32.660;00:02:34.420;41;23.3
