n_palabra;n_bloque;palabra;inicio_s;fin_s;duracion_s;inicio_hms;fin_hms;probabilidad
1;1;Un;0.000;0.220;0.220;00:00:00.000;00:00:00.220;0.9868
2;1;trabajo;0.220;0.440;0.220;00:00:00.220;00:00:00.440;1.0000
3;1;formal;0.440;0.840;0.400;00:00:00.440;00:00:00.840;0.9995
4;1;en;0.840;1.040;0.200;00:00:00.840;00:00:01.040;0.9995
5;1;México;1.040;1.280;0.240;00:00:01.040;00:00:01.280;0.9990
6;1;paga,;1.280;1.680;0.400;00:00:01.280;00:00:01.680;1.0000
7;1;en;1.760;2.020;0.260;00:00:01.760;00:00:02.020;1.0000
8;1;promedio,;2.020;2.560;0.540;00:00:02.020;00:00:02.560;1.0000
9;1;el;2.580;2.980;0.400;00:00:02.580;00:00:02.980;1.0000
10;1;doble;2.980;3.240;0.260;00:00:02.980;00:00:03.240;1.0000
11;1;que;3.240;3.300;0.060;00:00:03.240;00:00:03.300;0.9995
12;1;un;3.300;3.420;0.120;00:00:03.300;00:00:03.420;0.8696
13;1;informal.;3.420;3.680;0.260;00:00:03.420;00:00:03.680;0.9956
14;2;Pero;3.940;4.460;0.520;00:00:03.940;00:00:04.460;1.0000
15;2;desafortunadamente,;4.460;5.420;0.960;00:00:04.460;00:00:05.420;0.9863
16;2;más;5.560;5.820;0.260;00:00:05.560;00:00:05.820;1.0000
17;2;de;5.820;5.960;0.140;00:00:05.820;00:00:05.960;1.0000
18;2;la;5.960;6.040;0.080;00:00:05.960;00:00:06.040;1.0000
19;2;mitad;6.040;6.280;0.240;00:00:06.040;00:00:06.280;1.0000
20;2;de;6.280;6.400;0.120;00:00:06.280;00:00:06.400;1.0000
21;2;las;6.400;6.500;0.100;00:00:06.400;00:00:06.500;1.0000
22;2;personas;6.500;6.800;0.300;00:00:06.500;00:00:06.800;1.0000
23;3;que;6.800;7.060;0.260;00:00:06.800;00:00:07.060;1.0000
24;3;trabajan;7.060;7.520;0.460;00:00:07.060;00:00:07.520;1.0000
25;3;están;7.520;7.720;0.200;00:00:07.520;00:00:07.720;1.0000
26;3;en;7.720;7.940;0.220;00:00:07.720;00:00:07.940;1.0000
27;3;la;7.940;8.040;0.100;00:00:07.940;00:00:08.040;1.0000
28;3;informalidad.;8.040;8.560;0.520;00:00:08.040;00:00:08.560;1.0000
29;4;Esta;8.820;9.340;0.520;00:00:08.820;00:00:09.340;0.9766
30;4;semana;9.340;9.680;0.340;00:00:09.340;00:00:09.680;1.0000
31;4;salen;9.680;10.020;0.340;00:00:09.680;00:00:10.020;1.0000
32;4;los;10.020;10.140;0.120;00:00:10.020;00:00:10.140;1.0000
33;4;datos;10.140;10.400;0.260;00:00:10.140;00:00:10.400;1.0000
34;4;nuevos;10.400;10.760;0.360;00:00:10.400;00:00:10.760;1.0000
35;4;sobre;10.760;11.080;0.320;00:00:10.760;00:00:11.080;1.0000
36;4;el;11.080;11.220;0.140;00:00:11.080;00:00:11.220;1.0000
37;4;mercado;11.220;11.460;0.240;00:00:11.220;00:00:11.460;0.9990
38;4;laboral;11.460;11.920;0.460;00:00:11.460;00:00:11.920;1.0000
39;5;mexicano,;11.920;12.380;0.460;00:00:11.920;00:00:12.380;1.0000
40;5;que;12.460;12.860;0.400;00:00:12.460;00:00:12.860;1.0000
41;5;nos;12.860;12.980;0.120;00:00:12.860;00:00:12.980;1.0000
42;5;permitirán;12.980;13.420;0.440;00:00:12.980;00:00:13.420;1.0000
43;5;actualizar;13.420;13.900;0.480;00:00:13.420;00:00:13.900;1.0000
44;5;estas;13.900;14.320;0.420;00:00:13.900;00:00:14.320;1.0000
45;5;cifras.;14.320;14.740;0.420;00:00:14.320;00:00:14.740;1.0000
46;6;Yo;14.960;15.360;0.400;00:00:14.960;00:00:15.360;1.0000
47;6;soy;15.360;15.480;0.120;00:00:15.360;00:00:15.480;1.0000
48;6;Juvenal;15.480;15.820;0.340;00:00:15.480;00:00:15.820;0.9976
49;6;Campos;15.820;16.220;0.400;00:00:15.820;00:00:16.220;0.9995
50;6;y;16.220;16.400;0.180;00:00:16.220;00:00:16.400;0.6689
51;6;esta;16.400;16.600;0.200;00:00:16.400;00:00:16.600;0.9937
52;6;es;16.600;16.680;0.080;00:00:16.600;00:00:16.680;1.0000
53;6;la;16.680;16.760;0.080;00:00:16.680;00:00:16.760;0.9995
54;6;Agenda;16.760;16.980;0.220;00:00:16.760;00:00:16.980;0.8867
55;6;Económica;16.980;17.400;0.420;00:00:16.980;00:00:17.400;1.0000
56;6;de;17.400;17.560;0.160;00:00:17.400;00:00:17.560;1.0000
57;6;México.;17.560;17.840;0.280;00:00:17.560;00:00:17.840;1.0000
58;7;¿Cómo;18.060;18.480;0.420;00:00:18.060;00:00:18.480;0.9639
