cve_edo,year,formalidad
01,2005,45.578825
02,2005,41.97812
03,2005,41.94408
04,2005,60.723745
05,2005,39.9889875
06,2005,52.2665125
07,2005,79.6117625
08,2005,39.1268325
09,2005,50.2821
10,2005,55.0469325
11,2005,61.2297125
12,2005,77.186895
13,2005,75.1311175
14,2005,57.6092125
15,2005,59.4984225
16,2005,72.412025
17,2005,68.0682875
18,2005,64.17502
19,2005,39.96315
20,2005,80.8553325
21,2005,73.685275
22,2005,50.81446
23,2005,49.92583
24,2005,61.537455
25,2005,55.96728
26,2005,46.7700425
27,2005,63.6430725
28,2005,46.05489
29,2005,71.8151
30,2005,67.34541
31,2005,61.4984175
32,2005,66.0677825
01,2006,46.052945
02,2006,39.4440075
03,2006,37.5254675
04,2006,60.0331075
05,2006,40.336085
06,2006,51.95616
07,2006,78.7059425
08,2006,41.2545475
09,2006,49.54654
10,2006,54.8142475
11,2006,59.69239
12,2006,75.9105425
13,2006,73.1640675
14,2006,55.691465
15,2006,57.996685
16,2006,71.57077
17,2006,66.3655675
18,2006,62.147565
19,2006,39.6531125
20,2006,79.912675
21,2006,74.9851625
22,2006,48.95233
23,2006,50.19891
24,2006,61.7630625
25,2006,54.90805
26,2006,44.2743675
27,2006,62.2242925
28,2006,44.9283175
29,2006,71.146935
30,2006,66.6426
31,2006,61.558015
32,2006,65.9099375
01,2007,46.921265
02,2007,38.591185
03,2007,38.80862
04,2007,59.1212525
05,2007,40.5080575
06,2007,50.9515975
07,2007,77.80614
08,2007,42.088665
09,2007,47.8854225
10,2007,51.989095
11,2007,59.7564425
12,2007,75.92834
13,2007,72.9706075
14,2007,53.1556
15,2007,57.929575
16,2007,70.4942175
17,2007,67.22039
18,2007,62.3798975
19,2007,39.4630475
20,2007,79.6104825
21,2007,75.2455375
22,2007,47.8426325
23,2007,49.3104325
24,2007,61.1440825
25,2007,52.9048575
26,2007,43.5737375
27,2007,62.4562825
28,2007,44.8650075
29,2007,70.8360375
30,2007,66.304015
31,2007,62.4901875
32,2007,65.499675
01,2008,47.403895
02,2008,40.0520175
03,2008,39.116475
04,2008,60.06295
05,2008,42.2559675
06,2008,51.579725
07,2008,77.0319275
08,2008,43.551595
09,2008,47.90109
10,2008,51.1713975
11,2008,60.675755
12,2008,76.3003975
13,2008,74.2652375
14,2008,54.2179325
15,2008,57.38659
16,2008,69.68621
17,2008,67.60766
18,2008,62.543995
19,2008,40.1736825
20,2008,80.190305
21,2008,74.9427075
22,2008,47.21741
23,2008,49.10726
24,2008,61.232315
25,2008,52.524915
26,2008,46.51442
27,2008,62.9420725
28,2008,45.838405
29,2008,71.92598
30,2008,65.5330725
31,2008,62.41508
32,2008,66.412255
01,2009,48.0851275
02,2009,42.1659525
03,2009,41.444915
04,2009,61.1626025
05,2009,43.372665
06,2009,53.6392425
07,2009,76.9870225
08,2009,47.370565
09,2009,48.675195
10,2009,53.67334
11,2009,62.78355
12,2009,78.05998
13,2009,74.08572
14,2009,56.0983775
15,2009,57.4030025
16,2009,70.0719775
17,2009,66.3458525
18,2009,63.41347
19,2009,41.538385
20,2009,81.627255
21,2009,76.1319175
22,2009,49.79026
23,2009,49.6703075
24,2009,60.56685
25,2009,53.27566
26,2009,48.104565
27,2009,64.5806975
28,2009,48.9047425
29,2009,74.134305
30,2009,66.3623375
31,2009,63.563105
32,2009,67.2856475
01,2010,48.15273
02,2010,42.9972825
03,2010,42.64194
04,2010,60.93432
05,2010,43.33844
06,2010,54.5014025
07,2010,77.4441275
08,2010,45.43246
09,2010,48.896095
10,2010,55.11397
11,2010,61.746465
12,2010,78.241795
13,2010,75.2180025
14,2010,55.7520725
15,2010,58.3152775
16,2010,70.1360025
17,2010,66.63368
18,2010,64.4492525
19,2010,41.9001975
20,2010,81.1145375
21,2010,75.0831775
22,2010,48.083415
23,2010,50.28646
24,2010,59.4196275
25,2010,53.0580325
26,2010,47.9662275
27,2010,65.4244425
28,2010,49.6663975
29,2010,73.8412175
30,2010,65.328855
31,2010,63.403755
32,2010,65.232015
01,2011,48.020295
02,2011,43.3793375
03,2011,41.873435
04,2011,62.274735
05,2011,42.5068725
06,2011,55.0234425
07,2011,77.5120725
08,2011,44.993205
09,2011,49.04905
10,2011,53.9737225
11,2011,62.57606
12,2011,79.246795
13,2011,75.23071
14,2011,54.8705575
15,2011,57.241375
16,2011,71.0520675
17,2011,65.5192225
18,2011,65.0591675
19,2011,41.5197325
20,2011,80.1509125
21,2011,74.681015
22,2011,48.4915275
23,2011,50.3099725
24,2011,58.9248825
25,2011,53.1154625
26,2011,47.0847225
27,2011,64.706195
28,2011,51.65307
29,2011,72.98036
30,2011,67.1442525
31,2011,63.69653
32,2011,64.4450225
01,2012,49.649605
02,2012,44.74385
03,2012,41.6374525
04,2012,62.322855
05,2012,43.38886
06,2012,54.8836825
07,2012,77.3245625
08,2012,42.2146175
09,2012,49.52205
10,2012,56.5988225
11,2012,62.9588925
12,2012,79.747875
13,2012,73.7168525
14,2012,56.3032775
15,2012,58.00951
16,2012,70.5371975
17,2012,65.5115925
18,2012,65.7001825
19,2012,42.4698675
20,2012,80.0588075
21,2012,73.15312
22,2012,49.39319
23,2012,50.742505
24,2012,58.3790725
25,2012,54.3273725
