cvegeo,year,ingreso,ponderador
01001,2022,28609.32273983357,266778
01002,2022,17167.31205727447,12542
01003,2022,20459.16457416956,15546
01004,2022,17342.63378457803,3937
01005,2022,23692.3416245961,33214
01006,2022,19340.4627340604,11456
01007,2022,21591.08431647467,13572
01008,2022,16071.3604314632,2381
01009,2022,17240.11543890183,5422
01010,2022,18517.99331072377,5210
01011,2022,19584.485868075,16387
02001,2022,26580.11046805993,139850
02002,2022,29328.14307064477,330356
02003,2022,29101.1037376571,31140
02004,2022,31777.94575462513,576708
02005,2022,26876.31133632653,38109
02006,2022,11841.6324716778,32750
03001,2022,22328.0689698815,22216
03002,2022,22412.98434242453,19402
03003,2022,29476.7446756188,91287
03008,2022,35074.45781336667,101934
03009,2022,23203.05701015117,5629
04001,2022,16961.656323677402,15287
04002,2022,21115.43400338666,85297
04003,2022,23615.22594239193,72094
04004,2022,15346.82452043243,21470
04005,2022,15169.68000371437,8291
04006,2022,14089.29017369373,10241
04007,2022,15253.84249394997,2546
04008,2022,14856.65362840907,3066
04009,2022,13954.49202477597,16833
04010,2022,11132.0081811308,8037
04011,2022,11920.27599497157,13289
04012,2022,14975.34806212103,4274
05001,2022,18425.9452738763,363
05002,2022,22413.3515039643,47231
05003,2022,20410.0319242589,6850
05004,2022,20537.60072791993,8633
05005,2022,16654.01778785203,471
05006,2022,20843.72403514013,8379
05007,2022,19254.66489712837,3776
05008,2022,16196.8148382573,908
05009,2022,16988.7010921092,15897
05010,2022,21922.8451612454,23366
05011,2022,20869.21794531463,3402
05012,2022,21902.9753829571,521
05013,2022,18194.1650189406,492
05014,2022,18323.0646048577,2727
05015,2022,16586.21107935423,486
05016,2022,18346.82399728933,553
05017,2022,19194.24041309067,31201
05018,2022,26407.53683008393,69886
05019,2022,20129.91152246476,2332
05020,2022,18071.86910010203,20657
05021,2022,18058.2184411086,1973
05022,2022,25021.01856111594,9372
05023,2022,13702.5762351603,2663
05024,2022,18191.47362053646,12719
05025,2022,27790.1312420362,51705
05026,2022,18295.0805151592,994
05027,2022,27771.90642039376,34386
05028,2022,22773.41478250787,20212
05029,2022,21252.11287959783,725
05030,2022,29321.18575510207,242588
05031,2022,21368.87645196727,7622
05032,2022,22003.27903163903,13094
05033,2022,17363.94619481724,26577
05034,2022,16834.6364586276,1924
05035,2022,25282.24429348667,215039
05036,2022,14820.83469464093,5353
05037,2022,16067.51204414087,1820
05038,2022,18625.9831815272,3986
06001,2022,18109.4151717315,8224
06002,2022,24908.20067764644,50352
06003,2022,17845.44624237333,6300
06004,2022,17727.86294716743,6189
06005,2022,21679.771067341,9322
06006,2022,16446.8623113815,1711
06007,2022,24045.2213515888,59761
06008,2022,20270.8715857179,2913
06009,2022,21012.98171280707,33001
06010,2022,24387.00771655027,49080
07001,2022,11529.07830212603,4415
07002,2022,12459.15100421083,5431
07003,2022,13164.27958581723,7604
07004,2022,8180.585839789132,7969
07005,2022,10031.60259319207,5663
07006,2022,9200.6107634046,7580
07007,2022,8720.986213922533,2559
07008,2022,10936.68097280763,7296
07009,2022,11410.34791689993,12358
07010,2022,8320.487468416966,1567
07011,2022,8033.051033339801,4523
07012,2022,13374.2889681854,16192
07013,2022,11277.45861760247,8407
07014,2022,8594.9033103721,5049
07015,2022,11315.37257551303,12144
07016,2022,12888.66834755773,4785
07017,2022,14733.11125974847,21765
07018,2022,8815.841567801966,2444
07019,2022,15497.0967557277,44427
07020,2022,10393.134731223,12251
07021,2022,12573.85931992717,6055
07022,2022,7909.696911172733,4819
07023,2022,9820.100760457033,22654
07024,2022,8271.184810264333,2188
07025,2022,10101.98356139047,1722
07026,2022,7564.900541830567,9503
07027,2022,16018.04274993747,29647
07028,2022,10207.45729745133,1627
07029,2022,12486.2273696307,1476
07030,2022,10236.17003799503,8807
07031,2022,8623.4860762586,26645
07032,2022,10097.58374321783,7880
07033,2022,8012.604036637134,1511
07034,2022,11548.93999503353,20188
07035,2022,12889.80292017294,3694
07036,2022,9800.552179980266,1537
07037,2022,15380.2610757749,9562
07038,2022,8551.5095487344,4599
07039,2022,9516.1892484871,6278
07040,2022,16507.1344183579,14269
07041,2022,8130.174255874367,11084
07042,2022,9306.103911399534,2607
07043,2022,12624.85080993397,2659
07044,2022,10062.537453412,6166
07045,2022,10060.29251543243,1533
07046,2022,12970.05156830177,11277
07047,2022,9276.9063259434,5441
07048,2022,15416.34655125493,6094
07049,2022,8271.557603072666,5986
07050,2022,12574.42339206483,1586
07051,2022,13181.1781640673,12775
07052,2022,6286.318717870833,28902
07053,2022,10503.11542994477,1695
07054,2022,12666.3203314553,7814
07055,2022,12459.91369700177,1574
07056,2022,8500.545432998768,2710
07057,2022,12249.7530190477,16607
07058,2022,7362.264709607367,1049
07059,2022,10345.39039119607,46858
07060,2022,8000.641843645732,2927
07061,2022,14421.9505631364,23902
07062,2022,11667.24956063033,4487
07063,2022,9836.1486990025,1042
07064,2022,8173.448955462133,10102
07065,2022,13241.97443119463,33695
07066,2022,7776.2618601189,4929
07067,2022,9998.484814502866,2936
07068,2022,17995.06375426213,8600
07069,2022,14314.24891916547,14935
07070,2022,8865.569467853666,2403
07071,2022,12222.1251276855,7679
07072,2022,9588.976175509333,6503
07073,2022,9864.586076441201,2404
07074,2022,20312.46697181467,12520
07075,2022,11611.9467623008,7227
07076,2022,7956.803285510534,6774
07077,2022,9731.187695968734,14749
07078,2022,18190.18182110227,52666
07079,2022,11589.40488746543,10482
07080,2022,8265.749704783366,5206
07081,2022,9156.3512186032,10715
07082,2022,7204.516954741266,3221
07083,2022,10341.02807019903,5061
07084,2022,10515.31262940833,2058
07085,2022,9813.168967237167,2567
07086,2022,14860.3178488454,6362
07087,2022,14692.7313531633,11041
07088,2022,9163.3968251152,561
07089,2022,16146.91031435063,96211
07090,2022,9420.5418958558,1100
07091,2022,12116.35196597833,3459
07092,2022,12498.9228029559,5798
07093,2022,8507.789856441766,9206
07094,2022,11587.17702597733,11176
07096,2022,8273.3122931896,17994
07097,2022,14601.12798288107,25567
07098,2022,8210.945642550067,1735
07099,2022,10635.95869723693,20860
07100,2022,8586.6986404822,7967
07101,2022,20803.7348009362,166151
07102,2022,12511.33244831723,10632
07103,2022,10997.2342463461,7709
07104,2022,10255.20488980237,4669
07105,2022,10978.24006834383,3936
07106,2022,11169.996007354,17901
