cvegeo,year,ingreso,ponderador
01001,2020,20811.0414340276,266778
01002,2020,13674.17582849397,12542
01003,2020,16287.84270082376,15546
01004,2020,14310.10349565523,3937
01005,2020,18538.67666608383,33214
01006,2020,17135.12751643537,11456
01007,2020,15531.45269803433,13572
01008,2020,11894.34824135113,2381
01009,2020,13098.0202215673,5422
01010,2020,12648.8498506179,5210
01011,2020,17653.61951580233,16387
02001,2020,20631.9086968328,139850
02002,2020,22270.61839788043,330356
02003,2020,21685.8509381907,31140
02004,2020,23649.37588909703,576708
02005,2020,19442.32734585573,38109
03001,2020,17655.22917498884,22216
03002,2020,18821.33696669003,19402
03003,2020,23245.16659694317,91287
03008,2020,21277.33018020557,101934
03009,2020,18303.3538911416,5629
04001,2020,12438.05961970017,15287
04002,2020,17804.71291956463,85297
04003,2020,19639.38084388707,72094
04004,2020,12619.9259228619,21470
04005,2020,10922.10770031117,8291
04006,2020,11363.8790613422,10241
04007,2020,10413.90628796003,2546
04008,2020,11504.50124820937,3066
04009,2020,11731.30779606623,16833
04010,2020,8185.164502072766,8037
04011,2020,9563.2012733326,13289
05001,2020,18749.91774125977,363
05002,2020,16574.09052645487,47231
05003,2020,16111.4584210267,6850
05004,2020,15664.9570579591,8633
05005,2020,12377.7686658144,471
05006,2020,14444.4755161242,8379
05007,2020,15140.25567544483,3776
05008,2020,12197.27178735863,908
05009,2020,14752.54712411247,15897
05010,2020,17424.0817948972,23366
05011,2020,11920.87438181897,3402
05012,2020,13835.46990275457,521
05013,2020,9526.929537592934,492
05014,2020,11755.58571473817,2727
05015,2020,12281.85573647463,486
05016,2020,14317.7112324775,553
05017,2020,14978.3842461953,31201
05018,2020,19391.42209733727,69886
05019,2020,14962.68831145983,2332
05020,2020,15612.38511622813,20657
05021,2020,14517.66545441483,1973
05022,2020,19613.3006494486,9372
05023,2020,11430.5978669115,2663
05024,2020,14942.4617727556,12719
05025,2020,19928.7449116142,51705
05026,2020,14586.21944981,994
05027,2020,19915.60461373547,34386
05028,2020,19415.08383412803,20212
05029,2020,15193.10603942093,725
05030,2020,20904.57421768963,242588
05031,2020,17003.71372911563,7622
05032,2020,18150.03313890113,13094
05033,2020,13756.38575475803,26577
05034,2020,12962.39765316807,1924
05035,2020,18717.08179333563,215039
05036,2020,11805.45541090797,5353
05037,2020,13360.17490795317,1820
05038,2020,14991.35535831703,3986
06001,2020,15913.44722250673,8224
06002,2020,19819.7127033521,50352
06003,2020,14482.07899720553,6300
06004,2020,13583.7382818333,6189
06005,2020,18553.4842316839,9322
06006,2020,13197.34264880637,1711
06007,2020,19541.11750036837,59761
06008,2020,16035.3301372498,2913
06009,2020,16934.37273717717,33001
06010,2020,20049.56136764693,49080
07001,2020,9115.445425415966,4415
07002,2020,9945.009848152667,5431
07003,2020,8612.746153727034,7604
07004,2020,6448.157180320667,7969
07005,2020,6123.491599796001,5663
07006,2020,7026.549764476466,7580
07007,2020,7137.874421501667,2559
07008,2020,8396.717634121434,7296
07009,2020,13289.41767862027,12358
07010,2020,6190.6496881192,1567
07011,2020,6375.670093662367,4523
07012,2020,10311.61389141433,16192
07013,2020,7128.1529008097,8407
07014,2020,6267.5576870835685,5049
07015,2020,10157.95056530823,12144
07016,2020,10069.0528378989,4785
07017,2020,9987.037097240134,21765
07018,2020,7257.136563765133,2444
07019,2020,11212.7602943725,44427
07020,2020,7896.122378685034,12251
07021,2020,10184.48854247943,6055
07022,2020,5080.254685925866,4819
07023,2020,6966.375159435,22654
07024,2020,4952.6025927983,2188
07025,2020,7398.346669828734,1722
07026,2020,5650.215167351401,9503
07027,2020,9982.3366931478,29647
07028,2020,7674.823298348633,1627
07029,2020,9257.490089299034,1476
07030,2020,7645.820484154468,8807
07031,2020,6195.733604168233,26645
07032,2020,8730.3809373644,7880
07033,2020,5912.574661987001,1511
07034,2020,9504.576288044535,20188
07035,2020,9365.933930813566,3694
07036,2020,6841.5581726604,1537
07037,2020,10542.47710205217,9562
07038,2020,6263.125287710001,4599
07039,2020,6207.109962799533,6278
07040,2020,11940.46750284107,14269
07041,2020,7778.390616009034,11084
07042,2020,6821.711199762467,2607
07043,2020,9088.014629531799,2659
07044,2020,8176.559590092001,6166
07045,2020,8053.2824152065,1533
07046,2020,9282.122997773233,11277
07047,2020,7277.553244443468,5441
07048,2020,10879.03717609183,6094
07049,2020,6085.444537104234,5986
07050,2020,9273.3016787266,1586
07051,2020,10049.768098023529,12775
07052,2020,7304.9086812924,28902
07053,2020,7508.718868095467,1695
07054,2020,9874.862945246867,7814
07055,2020,9054.6653201894,1574
07056,2020,6015.618310637133,2710
07057,2020,8629.600798027133,16607
07058,2020,6192.852323626266,1049
07059,2020,7184.027326846466,46858
07060,2020,5569.021588209601,2927
07061,2020,10552.54847936663,23902
07062,2020,9220.050319207667,4487
07063,2020,7759.943217468134,1042
07064,2020,5046.554317129467,10102
07065,2020,10443.89945103313,33695
07066,2020,5961.630377830467,4929
07067,2020,6505.927835419067,2936
07068,2020,12588.35524364357,8600
07069,2020,9640.656661914,14935
07070,2020,6245.483321157601,2403
07071,2020,9278.967754757767,7679
07072,2020,6712.108720569066,6503
07073,2020,7341.557089319033,2404
07074,2020,14262.95239014136,12520
07075,2020,9320.872334897535,7227
07076,2020,6141.9454375704,6774
07077,2020,7715.1416418277,14749
07078,2020,11632.2584849183,52666
07079,2020,8839.2133549618,10482
07080,2020,6371.078681702599,5206
07081,2020,6885.173132232667,10715
07082,2020,5431.836805594367,3221
07083,2020,8450.350564513734,5061
07084,2020,7661.290406161934,2058
07085,2020,7353.558172754067,2567
07086,2020,10051.99294304513,6362
07087,2020,9036.184297333566,11041
07088,2020,6946.1971555996,561
07089,2020,12083.91225200383,96211
07090,2020,7009.964289680167,1100
07091,2020,9416.418456589001,3459
07092,2020,9203.954967679267,5798
07093,2020,6106.118312605867,9206
07094,2020,8161.583201936,11176
07096,2020,4414.3581798953,17994
07097,2020,11023.7974338388,25567
07098,2020,6871.691950902333,1735
07099,2020,8594.990784831834,20860
07100,2020,6394.950700962033,7967
07101,2020,15109.24075436833,166151
07102,2020,10131.58812613307,10632
07103,2020,8786.117525843734,7709
07104,2020,8860.936556226034,4669
07105,2020,8567.1177070496,3936
07106,2020,6803.7606485066,17901
07107,2020,7009.615781540334,16820
07108,2020,9330.573790024066,29270
07109,2020,8604.896823725867,8748
07110,2020,5900.371521929467,1831
07111,2020,7266.8664530408,9128
07112,2020,4269.514078815667,6960
07113,2020,4849.885378355167,1653
07114,2020,8166.818542728134,5473
07115,2020,6833.805783525534,2951
07116,2020,5994.542481297667,2897
07117,2020,5748.4743180679,1829
07118,2020,5870.007181585433,1311
07119,2020,5181.868444584733,911
08001,2020,15764.80435683423,4227
08002,2020,14695.0676152428,8238
08003,2020,15644.57039315883,2746
08004,2020,14381.28063206327,7102
08005,2020,16492.7518223082,7923
08006,2020,14310.6802493838,2002
08007,2020,10022.68442131287,4314
08008,2020,5675.6390143486,2823
08009,2020,9474.7338059943,7543
08010,2020,17650.9644960819,7828
08011,2020,16243.9616847196,15672
08012,2020,10938.5828519782,2230
08013,2020,14552.20232353053,3708
08014,2020,12669.6050495173,673
08015,2020,13139.03769742547,445
08016,2020,15342.93540210937,1166
08017,2020,20188.147777755272,56914
08018,2020,14823.56306616977,1700
08019,2020,23403.56942210903,300786
08020,2020,9844.967732730633,1787
08021,2020,18350.32905189343,47679
08022,2020,12629.1897452717,958
08023,2020,15304.42742162543,1821
08024,2020,16265.92685271393,1290
08025,2020,16289.24105246493,2549
08026,2020,14976.9576684358,913
08027,2020,9413.787554359933,13503
08028,2020,18085.54526098617,1364
08029,2020,10324.62013189363,12221
08030,2020,8228.754347804801,2222
08031,2020,14245.25190619567,11820
08032,2020,19350.16624186917,34411
08033,2020,10632.6696268682,281
08034,2020,15535.8668911705,1952
08035,2020,14976.35156021333,3232
08036,2020,15709.30362025853,11831
08037,2020,21337.26417166837,449452
08038,2020,12297.3045140366,1686
08039,2020,14495.2920858164,1286
08040,2020,13479.71607767417,8123
08041,2020,9785.446396358568,452
08042,2020,12626.47889855267,469
08043,2020,8718.1475348799,990
08044,2020,13405.00781919067,1373
08045,2020,18956.160678313,13837
08046,2020,7508.519907103667,1868
08047,2020,9178.228733680966,1344
08048,2020,15633.50470508087,7744
08049,2020,11190.18214545443,840
08050,2020,18807.68014470417,20932
08051,2020,11551.71411725493,2377
08052,2020,16932.9174962018,8218
08053,2020,15711.3409044676,1677
08054,2020,16488.09129459887,2180
08055,2020,13215.99175654897,5320
08056,2020,10753.84495216843,681
08057,2020,12504.67565444833,799
08058,2020,13903.6181384674,929
08059,2020,16318.04858863087,1559
08060,2020,16729.63636849,3451
08061,2020,17026.71688476867,1222
08062,2020,17079.59302447977,9045
08063,2020,10727.17125495853,1862
08064,2020,11363.24258462827,472
08065,2020,8145.396688842334,4789
08066,2020,8133.7317995122,1882
08067,2020,15192.0857632009,1662
09002,2020,22873.1966431663,134168
09003,2020,24785.5992331845,191517
09004,2020,22594.81414247424,60436
09005,2020,19929.5503594141,340155
09006,2020,20837.64945565687,117720
09007,2020,19198.80387032677,504365
09008,2020,19297.04442230887,68089
09009,2020,16232.75659662803,39100
09010,2020,21267.3788830606,219354
09011,2020,17157.56150832167,106935
09012,2020,22043.3716908484,202318
09013,2020,19382.05244626427,117113
09014,2020,34656.70710123667,176053
09015,2020,26963.85799950727,196466
09016,2020,29005.06859834667,146762
09017,2020,21765.56486673363,135768
10001,2020,10068.0751414465,8728
10002,2020,10661.0544931336,1159
10003,2020,9761.992812512499,1057
10004,2020,14860.44597120453,9339
10005,2020,19345.40533600797,186768
10006,2020,10437.9813810056,2630
10007,2020,17921.12283821603,102717
10008,2020,15221.9056354814,10079
10009,2020,12785.47630941153,2880
